OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,latitude,longitude
44228,I-69 TRUCKSTOP TRAVEL CENTER,"I-69, EXIT 184 & SR-19",Memphis,MI,342,3.549,35.1460249,-90.0517638
52040,REBEL TRUCK STOP,"I-5, EXIT 27",Kalama,WA,935,4.499,46.0085225,-122.84247
52048,PILOT TRAVEL CENTERS #302,"I-10, EXIT 13 & CR-30",Theodore,AL,715,3.199,30.5463684,-88.2023936859469
52048,PILOT TRAVEL CENTER #302,"I-10, EXIT 13 & CR-30",Theodore,AL,715,3.159,30.5463684,-88.2023936859469
52052,EXPRESSWAY MOBIL,US-63 & US-167,El Dorado,AR,635,3.599,33.2115087,-92.6650144
52065,76 DBA ONE9 #1415,"I-75, EXIT 49",Lake Panasoffkee,FL,225,3.17233333,28.785203000000003,-82.13258172601246
52067,PETRO STOPPING CENTER #322,"I-285, EXIT 12",Atlanta,GA,18,3.44566666,33.7489924,-84.3902644
52070,FRIENDLY EXPRESS #31,US-1 & US-301,Folkston,GA,75,3.099,30.8305818,-82.0097846
52081,MCCLURE OIL #9,US-31 & SR-18,Kokomo,IN,375,3.839,40.4864444,-86.1336351
52085,RUSSELL 24/7,"I-70, EXIT 184",Russell,KS,357,3.00733333,38.856558698130286,-98.80532986881798
52088,CASEYS #4459,"I-64, EXIT 265",Mayfield,KY,490,3.249,36.7413624,-88.6352595
52089,SHELL,US-84 & SR-28,Jonesville,LA,719,3.399,31.626142,-91.8135871
